Shape,ObjectCount,Duration,AverageFPS
Sphere,100,30,56.48
Sphere,200,30,59.86
Sphere,300,30,59.87
Sphere,400,30,59.81
Sphere,500,30,59.91
Sphere,600,30,59.95
Sphere,700,30,59.82
Sphere,800,30,59.87
Sphere,900,30,59.94
Sphere,1000,30,59.63
Sphere,1500,30,59.86
Sphere,2000,30,59.84
Sphere,2500,30,59.79
Sphere,3000,30,59.91
Sphere,3500,30,59.78
Sphere,4000,30,59.64
Sphere,4500,30,59.6
Sphere,5000,30,58.63
Sphere,5500,30,57.94
Sphere,6000,30,52.42
Sphere,6500,30,37.2
Sphere,6600,30,48.83
Sphere,6700,30,43.26
Sphere,6800,30,40.27
Sphere,6900,30,33.44
Sphere,7000,30,42.83
Sphere,7100,30,32.51
Sphere,7200,30,32.78
Sphere,7300,30,42.17
Sphere,7400,30,36.2
Sphere,7500,30,39.87
Sphere,7600,30,45.37
Sphere,7700,30,26.68
Sphere,7800,30,37.94
Sphere,7900,30,28.5
Sphere,8000,30,19.68
Sphere,8100,30,21.95
Sphere,8200,30,21.22
Sphere,8300,30,30.67
Sphere,8400,30,30.23
Sphere,8500,30,44.84
Sphere,8600,30,26.61
Sphere,8700,30,15.71
Sphere,8800,30,24.64
Sphere,8900,30,13.89
Sphere,9000,30,10.46
Sphere,9100,30,11.72
Sphere,9200,30,11.66
Sphere,9300,30,10.26
Sphere,9400,30,9.2
Sphere,9500,30,7.86
Sphere,9600,30,4.33
Sphere,9700,30,5.93
Sphere,9800,30,5.03
Sphere,9900,30,5.18
Sphere,10000,30,3.63
Sphere,10500,30,3.33
Sphere,11000,30,3.48
Sphere,15000,30,3.09
Sphere,20000,30,3.08
